equipment_id,equipment_tag,equipment_type,area,system,criticality
EQ-0134,R-1134,Reactor,Area 100,WFI System,Low
EQ-0135,T-1135,Tank,Area 400,WFI System,Low
EQ-0136,CP-1136,Control Panel,Utility Area,HVAC System,Low
EQ-0137,PS-1137,Pipe System,Area 100,Electrical System,High
EQ-0138,F-1138,Filter,Area 100,Automation System,Low
EQ-0139,PS-1139,Pipe System,Utility Area,CIP System,Low
EQ-0140,T-1140,Tank,Cleanroom Area,HVAC System,Undefined
EQ-0141,CP-1141,Control Panel,Cleanroom Area,HVAC System,High
EQ-0142,HX-1142,Heat Exchanger,Area 100,Process System,Medium
EQ-0143,F-1143,Filter,Area 100,Process System,High
EQ-0144,HX-1144,Heat Exchanger,Area 400,HVAC System,Medium
EQ-0145,R-1145,Reactor,Utility Area,Electrical System,Undefined
EQ-0146,HX-1146,Heat Exchanger,Area 400,Electrical System,High
EQ-0147,F-1147,Filter,Utility Area,HVAC System,Medium
EQ-0148,P-1148,Pump,Cleanroom Area,WFI System,High
EQ-0149,F-1149,Filter,Area 400,CIP System,Medium
EQ-0150,T-1150,Tank,Cleanroom Area,WFI System,Low
EQ-0151,PS-1151,Pipe System,Area 100,HVAC System,Medium
EQ-0152,V-1152,Valve,Area 100,HVAC System,High
EQ-0153,V-1153,Valve,Cleanroom Area,Electrical System,Low
EQ-0154,P-1154,Pump,Area 100,WFI System,High
EQ-0155,HX-1155,Heat Exchanger,Utility Area,CIP System,High
EQ-0156,V-1156,Valve,Utility Area,CIP System,High
EQ-0157,PS-1157,Pipe System,Area 200,Automation System,High
EQ-0158,CP-1158,Control Panel,Area 200,CIP System,Low
EQ-0159,CP-1159,Control Panel,Area 200,Process System,Low
EQ-0160,P-1160,Pump,Area 200,Process System,Medium
EQ-0161,V-1161,Valve,Utility Area,WFI System,High
EQ-0162,HX-1162,Heat Exchanger,Area 300,Process System,High
EQ-0163,R-1163,Reactor,Utility Area,Process System,Low
EQ-0164,T-1164,Tank,Area 400,HVAC System,Medium
EQ-0165,T-1165,Tank,Area 400,Automation System,High
EQ-0166,P-1166,Pump,Cleanroom Area,Electrical System,Low
EQ-0167,CP-1167,Control Panel,Area 400,Electrical System,High
EQ-0168,P-1168,Pump,Area 400,HVAC System,Medium
EQ-0169,T-1169,Tank,Area 400,Electrical System,Medium
EQ-0170,T-1170,Tank,Area 100,WFI System,Low
EQ-0171,HX-1171,Heat Exchanger,Area 100,CIP System,Medium
EQ-0172,PS-1172,Pipe System,Area 400,Automation System,Low
EQ-0173,CP-1173,Control Panel,Area 400,Automation System,Low
EQ-0174,R-1174,Reactor,Area 100,Electrical System,High
EQ-0175,V-1175,Valve,Area 400,HVAC System,High
EQ-0176,R-1176,Reactor,Area 300,HVAC System,Medium
EQ-0177,R-1177,Reactor,Cleanroom Area,Process System,Medium
EQ-0178,R-1178,Reactor,Area 300,Electrical System,Medium
EQ-0179,PS-1179,Pipe System,Area 200,Electrical System,Medium
EQ-0180,T-1180,Tank,Area 100,Process System,High
EQ-0181,R-1181,Reactor,Area 100,Electrical System,Low
EQ-0182,PS-1182,Pipe System,Area 200,Automation System,High
EQ-0183,PS-1183,Pipe System,Cleanroom Area,Process System,Medium
EQ-0184,PS-1184,Pipe System,Cleanroom Area,HVAC System,Low
EQ-0185,P-1185,Pump,Area 300,Automation System,Medium
EQ-0186,PS-1186,Pipe System,Area 100,Automation System,Low
EQ-0187,V-1187,Valve,Area 200,Electrical System,Medium
EQ-0188,V-1188,Valve,Area 100,WFI System,Low
EQ-0189,PS-1189,Pipe System,Area 100,WFI System,Low
EQ-0190,V-1190,Valve,Area 400,Automation System,Undefined
EQ-0191,P-1191,Pump,Utility Area,Electrical System,Low
EQ-0192,CP-1192,Control Panel,Area 100,CIP System,Medium
EQ-0193,CP-1193,Control Panel,Area 300,WFI System,High
EQ-0194,HX-1194,Heat Exchanger,Area 200,Automation System,Low
EQ-0195,R-1195,Reactor,Area 100,CIP System,Low
EQ-0196,P-1196,Pump,Area 100,Electrical System,Undefined
EQ-0197,V-1197,Valve,Area 400,HVAC System,Medium
EQ-0198,PS-1198,Pipe System,Area 200,WFI System,Medium
EQ-0199,PS-1199,Pipe System,Utility Area,Automation System,High
EQ-0200,P-1200,Pump,Area 200,CIP System,Low
EQ-0201,P-1201,Pump,Cleanroom Area,Process System,Medium
EQ-0202,F-1202,Filter,Cleanroom Area,HVAC System,Medium
EQ-0203,F-1203,Filter,Area 400,WFI System,High
EQ-0204,T-1204,Tank,Area 300,HVAC System,High
EQ-0205,CP-1205,Control Panel,Cleanroom Area,Electrical System,Low
EQ-0206,F-1206,Filter,Utility Area,Electrical System,Medium
EQ-0207,P-1207,Pump,Area 200,HVAC System,Low
EQ-0208,P-1208,Pump,Area 100,CIP System,Medium
EQ-0209,V-1209,Valve,Area 200,WFI System,Medium
EQ-0210,PS-1210,Pipe System,Area 100,Process System,Medium
EQ-0211,R-1211,Reactor,Area 200,CIP System,Medium
EQ-0212,V-1212,Valve,Utility Area,Automation System,Low
EQ-0213,PS-1213,Pipe System,Area 100,HVAC System,Low
EQ-0214,P-1214,Pump,Area 400,Process System,Medium
EQ-0215,T-1215,Tank,Area 300,Automation System,Medium
EQ-0216,R-1216,Reactor,Cleanroom Area,Electrical System,Medium
EQ-0217,CP-1217,Control Panel,Area 100,HVAC System,High
EQ-0218,PS-1218,Pipe System,Area 200,Automation System,Medium
EQ-0219,PS-1219,Pipe System,Area 100,HVAC System,High
EQ-0220,V-1220,Valve,Area 400,Automation System,Medium
EQ-0221,T-1221,Tank,Area 400,WFI System,Low
EQ-0222,PS-1222,Pipe System,Area 200,WFI System,High
EQ-0223,T-1223,Tank,Utility Area,Electrical System,High
EQ-0224,V-1224,Valve,Area 300,WFI System,Low
EQ-0225,HX-1225,Heat Exchanger,Area 200,Process System,High
EQ-0226,CP-1226,Control Panel,Area 200,CIP System,Low
EQ-0227,HX-1227,Heat Exchanger,Cleanroom Area,Process System,High
EQ-0228,F-1228,Filter,Area 400,Automation System,Low
EQ-0229,F-1229,Filter,Cleanroom Area,Automation System,Low
EQ-0230,PS-1230,Pipe System,Cleanroom Area,WFI System,High
EQ-0231,F-1231,Filter,Area 100,HVAC System,Medium
EQ-0232,CP-1232,Control Panel,Area 300,Automation System,High
EQ-0233,PS-1233,Pipe System,Utility Area,Process System,Undefined
EQ-0234,F-1234,Filter,Area 400,Process System,High
EQ-0235,PS-1235,Pipe System,Area 300,Process System,Low
EQ-0236,T-1236,Tank,Utility Area,Automation System,Low
EQ-0237,R-1237,Reactor,Area 400,Automation System,Low
EQ-0238,P-1238,Pump,Area 400,Automation System,Low
EQ-0239,V-1239,Valve,Area 300,Automation System,Medium
EQ-0240,HX-1240,Heat Exchanger,Area 100,HVAC System,High
EQ-0241,PS-1241,Pipe System,Cleanroom Area,Process System,Low
EQ-0242,HX-1242,Heat Exchanger,Area 100,CIP System,Low
EQ-0243,F-1243,Filter,Area 400,Automation System,Low
EQ-0244,HX-1244,Heat Exchanger,Area 300,WFI System,Medium
EQ-0245,R-1245,Reactor,Area 400,WFI System,Low
EQ-0246,P-1246,Pump,Cleanroom Area,Electrical System,Medium
EQ-0247,T-1247,Tank,Area 300,Process System,Low
EQ-0248,R-1248,Reactor,Area 300,WFI System,Low
EQ-0249,HX-1249,Heat Exchanger,Area 300,Process System,Undefined
EQ-0250,HX-1250,Heat Exchanger,Area 300,WFI System,Low
EQ-0251,R-1251,Reactor,Area 200,Automation System,Low
EQ-0252,T-1252,Tank,Area 300,Automation System,Medium
EQ-0253,PS-1253,Pipe System,Area 200,Electrical System,Low
EQ-0254,T-1254,Tank,Cleanroom Area,Electrical System,Undefined
EQ-0255,PS-1255,Pipe System,Area 100,WFI System,Undefined
EQ-0256,HX-1256,Heat Exchanger,Area 200,WFI System,Medium
EQ-0257,V-1257,Valve,Area 200,CIP System,High
EQ-0258,T-1258,Tank,Area 300,Process System,Low
EQ-0259,P-1259,Pump,Cleanroom Area,WFI System,Low
EQ-0260,HX-1260,Heat Exchanger,Utility Area,HVAC System,High
EQ-0261,HX-1261,Heat Exchanger,Area 200,Electrical System,Low
EQ-0262,HX-1262,Heat Exchanger,Cleanroom Area,HVAC System,High
EQ-0263,R-1263,Reactor,Area 300,Electrical System,Low
EQ-0264,V-1264,Valve,Area 400,Automation System,Medium
EQ-0265,F-1265,Filter,Area 200,Automation System,High
EQ-0266,CP-1266,Control Panel,Area 400,CIP System,Medium
EQ-0267,F-1267,Filter,Area 400,WFI System,Medium
EQ-0268,R-1268,Reactor,Area 200,CIP System,Low
EQ-0269,HX-1269,Heat Exchanger,Area 300,Process System,Low
EQ-0270,F-1270,Filter,Area 300,Automation System,High
EQ-0271,T-1271,Tank,Area 300,Process System,High
EQ-0272,CP-1272,Control Panel,Area 400,Automation System,High
EQ-0273,R-1273,Reactor,Area 100,CIP System,Medium
EQ-0274,PS-1274,Pipe System,Area 100,HVAC System,High
EQ-0275,R-1275,Reactor,Utility Area,WFI System,High
EQ-0276,R-1276,Reactor,Area 100,WFI System,High
EQ-0277,P-1277,Pump,Area 300,Process System,Low
EQ-0278,PS-1278,Pipe System,Area 200,CIP System,High
EQ-0279,CP-1279,Control Panel,Area 400,Electrical System,High
EQ-0280,F-1280,Filter,Area 400,Automation System,High
EQ-0281,T-1281,Tank,Area 100,WFI System,High
EQ-0282,HX-1282,Heat Exchanger,Utility Area,Electrical System,Low
EQ-0283,R-1283,Reactor,Area 100,WFI System,High
EQ-0284,CP-1284,Control Panel,Area 100,Process System,High
EQ-0285,R-1285,Reactor,Cleanroom Area,Automation System,Medium
EQ-0286,T-1286,Tank,Area 100,HVAC System,Low
EQ-0287,P-1287,Pump,Cleanroom Area,Automation System,Low
EQ-0288,V-1288,Valve,Cleanroom Area,CIP System,Medium
EQ-0289,R-1289,Reactor,Area 100,Automation System,Medium
EQ-0290,V-1290,Valve,Utility Area,HVAC System,Undefined
EQ-0291,T-1291,Tank,Utility Area,WFI System,High
EQ-0292,P-1292,Pump,Area 400,HVAC System,High
EQ-0293,R-1293,Reactor,Area 300,WFI System,Low
EQ-0294,P-1294,Pump,Area 300,Process System,Medium
EQ-0295,V-1295,Valve,Cleanroom Area,Electrical System,Low
EQ-0296,T-1296,Tank,Utility Area,Electrical System,Medium
EQ-0297,HX-1297,Heat Exchanger,Area 100,WFI System,Low
EQ-0298,PS-1298,Pipe System,Cleanroom Area,CIP System,Low
EQ-0299,F-1299,Filter,Cleanroom Area,HVAC System,Low
EQ-0300,HX-1300,Heat Exchanger,Area 200,Process System,Low
EQ-0301,F-1301,Filter,Area 100,WFI System,High
EQ-0302,P-1302,Pump,Area 200,Process System,Medium
EQ-0303,CP-1303,Control Panel,Utility Area,HVAC System,Low
EQ-0304,F-1304,Filter,Area 300,Process System,Low
EQ-0305,V-1305,Valve,Area 300,WFI System,High
EQ-0306,PS-1306,Pipe System,Area 300,Process System,Medium
EQ-0307,R-1307,Reactor,Area 400,Electrical System,Medium
EQ-0308,R-1308,Reactor,Area 300,CIP System,Medium
EQ-0309,F-1309,Filter,Area 300,Automation System,Medium
EQ-0310,T-1310,Tank,Cleanroom Area,HVAC System,High
EQ-0311,R-1311,Reactor,Utility Area,CIP System,Low
EQ-0312,CP-1312,Control Panel,Area 300,Process System,High
EQ-0313,PS-1313,Pipe System,Cleanroom Area,WFI System,Medium
EQ-0314,F-1314,Filter,Utility Area,Electrical System,Medium
EQ-0315,HX-1315,Heat Exchanger,Cleanroom Area,HVAC System,Medium
EQ-0316,F-1316,Filter,Area 100,Electrical System,Medium
EQ-0317,R-1317,Reactor,Area 300,Electrical System,High
EQ-0318,T-1318,Tank,Cleanroom Area,Electrical System,Medium
EQ-0319,PS-1319,Pipe System,Utility Area,Electrical System,Low
EQ-0320,HX-1320,Heat Exchanger,Area 100,CIP System,Low
EQ-0321,F-1321,Filter,Area 100,CIP System,High
EQ-0322,V-1322,Valve,Cleanroom Area,WFI System,Medium
EQ-0323,R-1323,Reactor,Utility Area,Process System,Low
EQ-0324,HX-1324,Heat Exchanger,Cleanroom Area,HVAC System,Medium
EQ-0325,PS-1325,Pipe System,Area 400,Process System,Low
EQ-0326,HX-1326,Heat Exchanger,Utility Area,WFI System,Medium
EQ-0327,PS-1327,Pipe System,Cleanroom Area,WFI System,High
EQ-0328,T-1328,Tank,Area 100,Electrical System,High
EQ-0329,F-1329,Filter,Utility Area,HVAC System,Low
EQ-0330,T-1330,Tank,Area 300,WFI System,Low
EQ-0331,F-1331,Filter,Area 200,Automation System,Medium
EQ-0332,F-1332,Filter,Area 200,Process System,High
EQ-0333,T-1333,Tank,Area 400,CIP System,Low
EQ-0334,F-1334,Filter,Area 100,Electrical System,Medium
EQ-0335,PS-1335,Pipe System,Cleanroom Area,Process System,Low
EQ-0336,CP-1336,Control Panel,Area 300,CIP System,Low
EQ-0337,HX-1337,Heat Exchanger,Area 300,Automation System,High
EQ-0338,T-1338,Tank,Area 200,CIP System,High
EQ-0339,F-1339,Filter,Area 100,WFI System,Low
EQ-0340,PS-1340,Pipe System,Area 400,Automation System,High
EQ-0341,T-1341,Tank,Area 100,WFI System,Medium
EQ-0342,F-1342,Filter,Utility Area,HVAC System,Medium
EQ-0343,T-1343,Tank,Area 200,WFI System,Low
EQ-0344,T-1344,Tank,Area 400,HVAC System,Low
EQ-0345,PS-1345,Pipe System,Area 200,Automation System,Low
EQ-0346,HX-1346,Heat Exchanger,Area 200,HVAC System,Low
EQ-0347,P-1347,Pump,Area 100,Automation System,High
EQ-0348,CP-1348,Control Panel,Area 200,CIP System,Medium
EQ-0349,V-1349,Valve,Area 300,Automation System,Medium
EQ-0350,T-1350,Tank,Area 300,CIP System,Low
EQ-0351,CP-1351,Control Panel,Area 200,Electrical System,Medium
EQ-0352,T-1352,Tank,Utility Area,Electrical System,High
EQ-0353,HX-1353,Heat Exchanger,Area 200,Electrical System,Low
EQ-0354,PS-1354,Pipe System,Utility Area,Process System,High
EQ-0355,T-1355,Tank,Area 100,Electrical System,Low
EQ-0356,CP-1356,Control Panel,Cleanroom Area,CIP System,Low
EQ-0357,R-1357,Reactor,Utility Area,Electrical System,High
EQ-0358,F-1358,Filter,Cleanroom Area,Automation System,Medium
EQ-0359,CP-1359,Control Panel,Area 400,CIP System,Low
EQ-0360,R-1360,Reactor,Area 300,HVAC System,High
EQ-0361,P-1361,Pump,Area 200,HVAC System,Medium
EQ-0362,F-1362,Filter,Area 400,CIP System,Medium
EQ-0363,HX-1363,Heat Exchanger,Area 300,Electrical System,Medium
EQ-0364,PS-1364,Pipe System,Area 400,CIP System,Medium
EQ-0365,T-1365,Tank,Area 300,CIP System,Medium
EQ-0366,T-1366,Tank,Area 300,HVAC System,High
EQ-0367,HX-1367,Heat Exchanger,Area 100,Process System,Medium
EQ-0368,R-1368,Reactor,Utility Area,HVAC System,High
EQ-0369,HX-1369,Heat Exchanger,Area 300,Automation System,Low
EQ-0370,PS-1370,Pipe System,Area 200,CIP System,Medium
EQ-0371,F-1371,Filter,Area 400,WFI System,Medium
EQ-0372,P-1372,Pump,Area 100,HVAC System,Low
EQ-0373,F-1373,Filter,Area 200,CIP System,Low
EQ-0374,PS-1374,Pipe System,Area 100,Process System,Medium
EQ-0375,F-1375,Filter,Utility Area,Electrical System,Low
EQ-0376,F-1376,Filter,Area 300,Automation System,Undefined
EQ-0377,T-1377,Tank,Area 400,CIP System,Medium
EQ-0378,PS-1378,Pipe System,Area 400,WFI System,High
EQ-0379,R-1379,Reactor,Area 100,Automation System,Undefined
EQ-0380,V-1380,Valve,Area 300,Automation System,Medium
EQ-0381,T-1381,Tank,Area 400,Automation System,Medium
EQ-0382,CP-1382,Control Panel,Utility Area,Electrical System,Low
EQ-0383,T-1383,Tank,Area 200,Process System,Medium
EQ-0384,PS-1384,Pipe System,Area 300,Automation System,Medium
EQ-0385,HX-1385,Heat Exchanger,Area 200,Automation System,Low
EQ-0386,R-1386,Reactor,Utility Area,Process System,High
EQ-0387,P-1387,Pump,Area 200,Electrical System,Medium
EQ-0388,F-1388,Filter,Utility Area,HVAC System,High
EQ-0389,HX-1389,Heat Exchanger,Area 300,Automation System,Medium
EQ-0390,HX-1390,Heat Exchanger,Area 400,Automation System,Low
EQ-0391,CP-1391,Control Panel,Utility Area,WFI System,Low
EQ-0392,F-1392,Filter,Cleanroom Area,Automation System,Medium
EQ-0393,F-1393,Filter,Area 100,WFI System,Medium
EQ-0394,T-1394,Tank,Area 400,Automation System,Medium
EQ-0395,P-1395,Pump,Utility Area,HVAC System,Medium
EQ-0396,V-1396,Valve,Cleanroom Area,Process System,Undefined
EQ-0397,F-1397,Filter,Area 200,Automation System,Low
EQ-0398,R-1398,Reactor,Area 200,Electrical System,High
EQ-0399,P-1399,Pump,Utility Area,Electrical System,High
EQ-0400,V-1400,Valve,Area 100,HVAC System,Medium
EQ-0401,R-1401,Reactor,Area 200,HVAC System,Low
EQ-0402,V-1402,Valve,Area 400,Automation System,Low
EQ-0403,F-1403,Filter,Cleanroom Area,Electrical System,High
EQ-0404,HX-1404,Heat Exchanger,Utility Area,CIP System,Low
EQ-0405,PS-1405,Pipe System,Cleanroom Area,HVAC System,Low
EQ-0406,R-1406,Reactor,Area 300,CIP System,Medium
EQ-0407,PS-1407,Pipe System,Utility Area,WFI System,Low
EQ-0408,CP-1408,Control Panel,Utility Area,HVAC System,High
EQ-0409,V-1409,Valve,Area 300,Automation System,Medium
EQ-0410,V-1410,Valve,Area 300,WFI System,Low
EQ-0411,V-1411,Valve,Cleanroom Area,Electrical System,Medium
EQ-0412,PS-1412,Pipe System,Area 400,WFI System,Low
EQ-0413,CP-1413,Control Panel,Area 300,Process System,Low
EQ-0414,R-1414,Reactor,Area 400,WFI System,High
EQ-0415,CP-1415,Control Panel,Area 100,WFI System,Low
EQ-0416,T-1416,Tank,Area 300,HVAC System,Low
EQ-0417,CP-1417,Control Panel,Cleanroom Area,HVAC System,High
EQ-0418,V-1418,Valve,Utility Area,WFI System,Low
EQ-0419,CP-1419,Control Panel,Area 200,Process System,Low
EQ-0420,V-1420,Valve,Area 200,Process System,Low
EQ-0421,V-1421,Valve,Cleanroom Area,CIP System,High
EQ-0422,T-1422,Tank,Area 400,WFI System,Low
EQ-0423,F-1423,Filter,Area 100,Electrical System,High
EQ-0424,P-1424,Pump,Utility Area,CIP System,Medium
EQ-0425,F-1425,Filter,Area 400,Electrical System,High
EQ-0426,CP-1426,Control Panel,Area 300,WFI System,Low
EQ-0427,P-1427,Pump,Area 100,Electrical System,Low
EQ-0428,V-1428,Valve,Utility Area,Electrical System,Low
EQ-0429,P-1429,Pump,Area 200,HVAC System,High
EQ-0430,P-1430,Pump,Area 400,HVAC System,High
EQ-0431,CP-1431,Control Panel,Area 100,Process System,Medium
EQ-0432,T-1432,Tank,Area 300,WFI System,Medium
EQ-0433,F-1433,Filter,Area 200,Automation System,Medium
EQ-0434,CP-1434,Control Panel,Area 200,Process System,Medium
EQ-0435,HX-1435,Heat Exchanger,Cleanroom Area,HVAC System,Low
EQ-0436,CP-1436,Control Panel,Cleanroom Area,CIP System,High
EQ-0437,PS-1437,Pipe System,Area 300,Automation System,Low
EQ-0438,V-1438,Valve,Area 200,Automation System,Low
